Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
1953,85,5,255,4,2,5784,14078,0,2,0.0,43.0,1.0,1.0,1.0,1.0,28.0,28.0,54.0,0.0,59141.0,73084.0,31495.0,0.0,56541.0,24808.0,1.0,1.0,0.0,0.0,0.0,14134.0,25022.0,0.0,14053.0,14023.0,0,0,0,0,0,2,0.0,72788.0,28.0,25.0,204.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,334.0,0.0,52.0,0,0,0,0,0,0,0,0,1,43,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2408,85,458,317,7,2,155,53493,18,23,1694.0,2123.0,195.0,11.0,3500.0,4452.0,215.0,2.0,3466.0,2695.0,74794.0,54655.0,39235.0,36258.0,32279.0,19346.0,32314.0,31118.0,33370.0,35801.0,129.0,32462.0,7852.0,17605.0,29335.0,3.0,0,0,0,0,28,40,48660.0,56304.0,2.0,200.0,5950.0,5181.0,5408.0,0,0,0,0,0,0,0,0,1.0,4900.0,2900.0,2862.0,0,0,0,0,0,0,18,1693,22,2122,0,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2194,85,153,317,2,2,31310,1205,0,2,0.0,40.0,1.0,1.0,1.0,1.0,35.0,8.0,49.0,9.0,90540.0,92205.0,3791.0,0.0,66788.0,29329.0,1.0,1.0,0.0,0.0,0.0,1006.0,27016.0,0.0,966.0,1171.0,0,0,0,0,0,2,0.0,89780.0,8.0,33.0,150.0,304.0,316.0,0,0,0,0,0,0,0,0,0.0,239.0,0.0,48.0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3966,85,779,318,2,2,26085,72995,2,1,25.0,7.0,5.0,6.0,116.0,1.0,8.0,8.0,23.0,0.0,2674.0,9312.0,85430.0,59896.0,53890.0,20346.0,42613.0,64389.0,0.0,52214.0,12170.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,1,9414.0,16661.0,8.0,5.0,47.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,63.0,114.0,22.0,0,0,0,0,0,0,2,24,0,7,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2238,192,9,131,107,1,2210,73,0,2,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,94117.0,264.0,0.0,70031.0,30648.0,1.0,1.0,0.0,0.0,0.0,43.0,29237.0,0.0,46.0,73.0,0,0,0,0,0,6,0.0,91290.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,37,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3541,85,210,318,7,1,424,89489,13,20,344.0,517.0,133.0,1.0,478.0,844.0,229.0,0.0,512.0,2772.0,36722.0,1967.0,79616.0,88114.0,59688.0,2.0,62391.0,66160.0,60211.0,59647.0,17.0,33992.0,25964.0,20123.0,32968.0,1.0,0,0,0,0,59,97,1652.0,30465.0,0.0,215.0,858.0,1530.0,1693.0,0,1,0,0,0,0,0,0,1.0,818.0,451.0,450.0,0,0,0,0,0,0,13,343,19,516,0,42,8,0,448.0,376.0,491.0,637.0,3100.0,190.0,2940.0,2995.0,0
4737,85,1665,318,7,2,4488,45239,17,21,1665.0,1981.0,195.0,11.0,3561.0,4519.0,215.0,2.0,3853.0,3461.0,76905.0,55462.0,38109.0,38008.0,34518.0,19346.0,24709.0,27224.0,35136.0,37030.0,113.0,30540.0,6137.0,18176.0,30072.0,3.0,0,0,0,0,26,36,51385.0,57699.0,2.0,200.0,6559.0,5657.0,5884.0,0,0,0,0,0,0,0,0,1.0,5267.0,2947.0,3167.0,0,0,0,0,0,0,17,1664,20,1980,0,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3533,85,212,318,2,2,11909,68909,2,1,25.0,7.0,5.0,6.0,116.0,1.0,8.0,8.0,23.0,0.0,5047.87448,13194.95189,81532.04811,53424.66106,47768.92675,19399.38705,38135.53554,60071.53554,0.0,46512.92675,7857.535541,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,1,13311.95189,20747.95189,8.0,5.0,47.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,63.0,114.0,22.0,0,0,0,0,0,0,2,24,0,7,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4438,85,1316,318,2,2,35800,72495,2,1,25.0,7.0,5.0,6.0,116.0,1.0,8.0,8.0,23.0,0.0,2844.0,9723.0,85010.0,58539.0,52793.0,19305.0,41935.0,63790.0,0.0,51155.0,11578.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,1,9834.0,17161.0,8.0,5.0,47.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,63.0,114.0,22.0,0,0,0,0,0,0,2,24,0,7,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3898,85,694,318,2,2,4354,6989,0,2,0.0,52.0,1.0,1.0,1.0,1.0,49.0,14.0,73.0,28.0,81597.15341,83437.6808,13048.3959,0.0,16494.25345,3345.406859,1.0,1.0,0.0,0.0,0.0,6725.406859,9134.253451,0.0,6836.90138,6975.406859,0,0,0,0,0,2,0.0,83494.63697,14.0,48.0,216.0,474.0,554.0,0,0,0,0,0,0,0,0,0.0,345.0,0.0,71.0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
